Año,Tipo territorio,Código territorio,Territorio,Medida,Valor
2024,Comunidad de Madrid,,Comunidad de Madrid,Por 10.000 habitantes,4
2024,Municipios,14,Acebeda (La),Por 10.000 habitantes,0
2024,Municipios,29,Ajalvir,Por 10.000 habitantes,2
2024,Municipios,35,Alameda del Valle,Por 10.000 habitantes,39
2024,Municipios,40,Álamo (El),Por 10.000 habitantes,2
2024,Municipios,53,Alcalá de Henares,Por 10.000 habitantes,3
2024,Municipios,66,Alcobendas,Por 10.000 habitantes,3
2024,Municipios,72,Alcorcón,Por 10.000 habitantes,4
2024,Municipios,88,Aldea del Fresno,Por 10.000 habitantes,3
2024,Municipios,91,Algete,Por 10.000 habitantes,3
2024,Municipios,105,Alpedrete,Por 10.000 habitantes,2
2024,Municipios,112,Ambite,Por 10.000 habitantes,14
2024,Municipios,127,Anchuelo,Por 10.000 habitantes,7
2024,Municipios,133,Aranjuez,Por 10.000 habitantes,3
2024,Municipios,148,Arganda del Rey,Por 10.000 habitantes,3
2024,Municipios,151,Arroyomolinos,Por 10.000 habitantes,3
2024,Municipios,164,Atazar (El),Por 10.000 habitantes,0
2024,Municipios,170,Batres,Por 10.000 habitantes,5
2024,Municipios,186,Becerril de la Sierra,Por 10.000 habitantes,3
2024,Municipios,199,Belmonte de Tajo,Por 10.000 habitantes,5
2024,Municipios,210,Berrueco (El),Por 10.000 habitantes,12
2024,Municipios,203,Berzosa del Lozoya,Por 10.000 habitantes,0
2024,Municipios,225,Boadilla del Monte,Por 10.000 habitantes,2
2024,Municipios,231,Boalo (El),Por 10.000 habitantes,4
2024,Municipios,246,Braojos,Por 10.000 habitantes,46
2024,Municipios,259,Brea de Tajo,Por 10.000 habitantes,17
2024,Municipios,262,Brunete,Por 10.000 habitantes,3
2024,Municipios,278,Buitrago del Lozoya,Por 10.000 habitantes,5
2024,Municipios,284,Bustarviejo,Por 10.000 habitantes,4
2024,Municipios,297,Cabanillas de la Sierra,Por 10.000 habitantes,11
2024,Municipios,301,Cabrera (La),Por 10.000 habitantes,3
2024,Municipios,318,Cadalso de los Vidrios,Por 10.000 habitantes,3
2024,Municipios,323,Camarma de Esteruelas,Por 10.000 habitantes,2
2024,Municipios,339,Campo Real,Por 10.000 habitantes,3
2024,Municipios,344,Canencia,Por 10.000 habitantes,21
2024,Municipios,357,Carabaña,Por 10.000 habitantes,4
2024,Municipios,360,Casarrubuelos,Por 10.000 habitantes,5
2024,Municipios,376,Cenicientos,Por 10.000 habitantes,5
2024,Municipios,382,Cercedilla,Por 10.000 habitantes,4
2024,Municipios,395,Cervera de Buitrago,Por 10.000 habitantes,0
2024,Municipios,513,Chapinería,Por 10.000 habitantes,4
2024,Municipios,528,Chinchón,Por 10.000 habitantes,3
2024,Municipios,409,Ciempozuelos,Por 10.000 habitantes,3
2024,Municipios,416,Cobeña,Por 10.000 habitantes,3
2024,Municipios,468,Collado Mediano,Por 10.000 habitantes,3
2024,Municipios,474,Collado Villalba,Por 10.000 habitantes,3
2024,Municipios,437,Colmenar de Oreja,Por 10.000 habitantes,3
2024,Municipios,421,Colmenar del Arroyo,Por 10.000 habitantes,5
2024,Municipios,455,Colmenar Viejo,Por 10.000 habitantes,3
2024,Municipios,442,Colmenarejo,Por 10.000 habitantes,2
2024,Municipios,480,Corpa,Por 10.000 habitantes,13
2024,Municipios,493,Coslada,Por 10.000 habitantes,4
2024,Municipios,506,Cubas de la Sagra,Por 10.000 habitantes,3
2024,Municipios,534,Daganzo de Arriba,Por 10.000 habitantes,2
2024,Municipios,549,Escorial (El),Por 10.000 habitantes,3
2024,Municipios,552,Estremera,Por 10.000 habitantes,7
2024,Municipios,565,Fresnedillas de la Oliva,Por 10.000 habitantes,5
2024,Municipios,571,Fresno de Torote,Por 10.000 habitantes,4
2024,Municipios,587,Fuenlabrada,Por 10.000 habitantes,3
2024,Municipios,590,Fuente el Saz de Jarama,Por 10.000 habitantes,4
2024,Municipios,604,Fuentidueña de Tajo,Por 10.000 habitantes,4
2024,Municipios,611,Galapagar,Por 10.000 habitantes,3
2024,Municipios,626,Garganta de los Montes,Por 10.000 habitantes,24
2024,Municipios,632,Gargantilla del Lozoya y Pinilla de Buitrago,Por 10.000 habitantes,25
2024,Municipios,647,Gascones,Por 10.000 habitantes,0
2024,Municipios,650,Getafe,Por 10.000 habitantes,3
2024,Municipios,663,Griñón,Por 10.000 habitantes,2
2024,Municipios,679,Guadalix de la Sierra,Por 10.000 habitantes,3
2024,Municipios,685,Guadarrama,Por 10.000 habitantes,2
2024,Municipios,698,Hiruela (La),Por 10.000 habitantes,0
2024,Municipios,702,Horcajo de la Sierra-Aoslos,Por 10.000 habitantes,0
2024,Municipios,719,Horcajuelo de la Sierra,Por 10.000 habitantes,0
2024,Municipios,724,Hoyo de Manzanares,Por 10.000 habitantes,3
2024,Municipios,730,Humanes de Madrid,Por 10.000 habitantes,3
2024,Municipios,745,Leganés,Por 10.000 habitantes,4
2024,Municipios,758,Loeches,Por 10.000 habitantes,2
2024,Municipios,761,Lozoya,Por 10.000 habitantes,16
2024,Municipios,9015,Lozoyuela-Navas-Sieteiglesias,Por 10.000 habitantes,7
2024,Municipios,783,Madarcos,Por 10.000 habitantes,0
2024,Municipios,796,Madrid,Por 10.000 habitantes,5
2024,Municipios,800,Majadahonda,Por 10.000 habitantes,3
2024,Municipios,822,Manzanares el Real,Por 10.000 habitantes,2
2024,Municipios,838,Meco,Por 10.000 habitantes,3
2024,Municipios,843,Mejorada del Campo,Por 10.000 habitantes,3
2024,Municipios,856,Miraflores de la Sierra,Por 10.000 habitantes,4
2024,Municipios,869,Molar (El),Por 10.000 habitantes,2
2024,Municipios,875,Molinos (Los),Por 10.000 habitantes,4
2024,Municipios,881,Montejo de la Sierra,Por 10.000 habitantes,27
2024,Municipios,894,Moraleja de Enmedio,Por 10.000 habitantes,2
2024,Municipios,908,Moralzarzal,Por 10.000 habitantes,2
2024,Municipios,915,Morata de Tajuña,Por 10.000 habitantes,2
2024,Municipios,920,Móstoles,Por 10.000 habitantes,3
2024,Municipios,936,Navacerrada,Por 10.000 habitantes,3
2024,Municipios,941,Navalafuente,Por 10.000 habitantes,6
2024,Municipios,954,Navalagamella,Por 10.000 habitantes,3
2024,Municipios,967,Navalcarnero,Por 10.000 habitantes,3
2024,Municipios,973,Navarredonda y San Mamés,Por 10.000 habitantes,0
2024,Municipios,992,Navas del Rey,Por 10.000 habitantes,6
2024,Municipios,1006,Nuevo Baztán,Por 10.000 habitantes,3
2024,Municipios,1013,Olmeda de las Fuentes,Por 10.000 habitantes,25
2024,Municipios,1028,Orusco de Tajuña,Por 10.000 habitantes,7
2024,Municipios,1049,Paracuellos de Jarama,Por 10.000 habitantes,2
2024,Municipios,1065,Parla,Por 10.000 habitantes,2
2024,Municipios,1071,Patones,Por 10.000 habitantes,17
2024,Municipios,1087,Pedrezuela,Por 10.000 habitantes,2
2024,Municipios,1090,Pelayos de la Presa,Por 10.000 habitantes,3
2024,Municipios,1104,Perales de Tajuña,Por 10.000 habitantes,3
2024,Municipios,1111,Pezuela de las Torres,Por 10.000 habitantes,10
2024,Municipios,1126,Pinilla del Valle,Por 10.000 habitantes,50
2024,Municipios,1132,Pinto,Por 10.000 habitantes,3
2024,Municipios,1147,Piñuécar-Gandullas,Por 10.000 habitantes,0
2024,Municipios,1150,Pozuelo de Alarcón,Por 10.000 habitantes,3
2024,Municipios,1163,Pozuelo del Rey,Por 10.000 habitantes,8
2024,Municipios,1179,Prádena del Rincón,Por 10.000 habitantes,0
2024,Municipios,1185,Puebla de la Sierra,Por 10.000 habitantes,0
2024,Municipios,9020,Puentes Viejas,Por 10.000 habitantes,13
2024,Municipios,1198,Quijorna,Por 10.000 habitantes,2
2024,Municipios,1202,Rascafría,Por 10.000 habitantes,6
2024,Municipios,1219,Redueña,Por 10.000 habitantes,35
2024,Municipios,1224,Ribatejada,Por 10.000 habitantes,11
2024,Municipios,1230,Rivas-Vaciamadrid,Por 10.000 habitantes,2
2024,Municipios,1245,Robledillo de la Jara,Por 10.000 habitantes,0
2024,Municipios,1258,Robledo de Chavela,Por 10.000 habitantes,4
2024,Municipios,1261,Robregordo,Por 10.000 habitantes,0
2024,Municipios,1277,Rozas de Madrid (Las),Por 10.000 habitantes,3
2024,Municipios,1283,Rozas de Puerto Real,Por 10.000 habitantes,17
2024,Municipios,1296,San Agustín del Guadalix,Por 10.000 habitantes,1
2024,Municipios,1300,San Fernando de Henares,Por 10.000 habitantes,3
2024,Municipios,1317,San Lorenzo de El Escorial,Por 10.000 habitantes,3
2024,Municipios,1322,San Martín de la Vega,Por 10.000 habitantes,3
2024,Municipios,1338,San Martín de Valdeiglesias,Por 10.000 habitantes,3
2024,Municipios,1343,San Sebastián de los Reyes,Por 10.000 habitantes,3
2024,Municipios,1356,Santa María de la Alameda,Por 10.000 habitantes,7
2024,Municipios,1369,Santorcaz,Por 10.000 habitantes,10
2024,Municipios,1375,Santos de la Humosa (Los),Por 10.000 habitantes,4
2024,Municipios,1381,Serna del Monte (La),Por 10.000 habitantes,0
2024,Municipios,1408,Serranillos del Valle,Por 10.000 habitantes,4
2024,Municipios,1415,Sevilla la Nueva,Por 10.000 habitantes,4
2024,Municipios,1436,Somosierra,Por 10.000 habitantes,0
2024,Municipios,1441,Soto del Real,Por 10.000 habitantes,3
2024,Municipios,1454,Talamanca de Jarama,Por 10.000 habitantes,4
2024,Municipios,1467,Tielmes,Por 10.000 habitantes,4
2024,Municipios,1473,Titulcia,Por 10.000 habitantes,7
2024,Municipios,1489,Torrejón de Ardoz,Por 10.000 habitantes,2
2024,Municipios,1492,Torrejón de la Calzada,Por 10.000 habitantes,4
2024,Municipios,1505,Torrejón de Velasco,Por 10.000 habitantes,4
2024,Municipios,1512,Torrelaguna,Por 10.000 habitantes,2
2024,Municipios,1527,Torrelodones,Por 10.000 habitantes,3
2024,Municipios,1533,Torremocha de Jarama,Por 10.000 habitantes,9
2024,Municipios,1548,Torres de la Alameda,Por 10.000 habitantes,3
2024,Municipios,9036,Tres Cantos,Por 10.000 habitantes,3
2024,Municipios,1551,Valdaracete,Por 10.000 habitantes,0
2024,Municipios,1564,Valdeavero,Por 10.000 habitantes,5
2024,Municipios,1570,Valdelaguna,Por 10.000 habitantes,9
2024,Municipios,1586,Valdemanco,Por 10.000 habitantes,10
2024,Municipios,1599,Valdemaqueda,Por 10.000 habitantes,12
2024,Municipios,1603,Valdemorillo,Por 10.000 habitantes,2
2024,Municipios,1610,Valdemoro,Por 10.000 habitantes,2
2024,Municipios,1625,Valdeolmos-Alalpardo,Por 10.000 habitantes,2
2024,Municipios,1631,Valdepiélagos,Por 10.000 habitantes,16
2024,Municipios,1646,Valdetorres de Jarama,Por 10.000 habitantes,6
2024,Municipios,1659,Valdilecha,Por 10.000 habitantes,3
2024,Municipios,1662,Valverde de Alcalá,Por 10.000 habitantes,18
2024,Municipios,1678,Velilla de San Antonio,Por 10.000 habitantes,3
2024,Municipios,1684,Vellón (El),Por 10.000 habitantes,5
2024,Municipios,1697,Venturada,Por 10.000 habitantes,4
2024,Municipios,1718,Villa del Prado,Por 10.000 habitantes,3
2024,Municipios,1701,Villaconejos,Por 10.000 habitantes,3
2024,Municipios,1723,Villalbilla,Por 10.000 habitantes,2
2024,Municipios,1739,Villamanrique de Tajo,Por 10.000 habitantes,12
2024,Municipios,1744,Villamanta,Por 10.000 habitantes,4
2024,Municipios,1757,Villamantilla,Por 10.000 habitantes,6
2024,Municipios,1760,Villanueva de la Cañada,Por 10.000 habitantes,3
2024,Municipios,1782,Villanueva de Perales,Por 10.000 habitantes,6
2024,Municipios,1776,Villanueva del Pardillo,Por 10.000 habitantes,3
2024,Municipios,1795,Villar del Olmo,Por 10.000 habitantes,4
2024,Municipios,1809,Villarejo de Salvanés,Por 10.000 habitantes,3
2024,Municipios,1816,Villaviciosa de Odón,Por 10.000 habitantes,3
2024,Municipios,1821,Villavieja del Lozoya,Por 10.000 habitantes,31
2024,Municipios,1837,Zarzalejo,Por 10.000 habitantes,5
