Municipio;Tipo de dato;Periodo;Total
Total Nacional;Índice;2023;118,727
02003 Albacete;Índice;2023;116,009
02009 Almansa;Índice;2023;111,702
02025 Caudete;Índice;2023;105,418
02037 Hellín;Índice;2023;113,467
02069 Roda, La;Índice;2023;112,544
02081 Villarrobledo;Índice;2023;111,793
Resto Albacete;Índice;2023;112,525
03005 Albatera;Índice;2023;117,243
03009 Alcoi/Alcoy;Índice;2023;116,556
03011 Alfàs del Pi, l';Índice;2023;117,539
03014 Alacant/Alicante;Índice;2023;121,321
03015 Almoradí;Índice;2023;118,192
03018 Altea;Índice;2023;119,473
03019 Aspe;Índice;2023;120,513
03031 Benidorm;Índice;2023;115,401
03041 Benissa;Índice;2023;117,482
03047 Calp;Índice;2023;117,431
03049 Callosa de Segura;Índice;2023;116,367
03050 Campello, el;Índice;2023;120,972
03053 Castalla;Índice;2023;120,936
03056 Cocentaina;Índice;2023;113,778
03059 Crevillent;Índice;2023;115,203
03063 Dénia;Índice;2023;119,586
03065 Elx/Elche;Índice;2023;120,426
03066 Elda;Índice;2023;116,566
03076 Guardamar del Segura;Índice;2023;116,849
03079 Ibi;Índice;2023;117,774
03082 Xàbia/Jávea;Índice;2023;118,901
03089 Monòver/Monóvar;Índice;2023;111,804
03090 Mutxamel;Índice;2023;120,780
03093 Novelda;Índice;2023;117,578
03094 Nucia, la;Índice;2023;115,570
03099 Orihuela;Índice;2023;116,446
03102 Pego;Índice;2023;117,987
03104 Petrer;Índice;2023;118,779
03113 Rojales;Índice;2023;112,794
03119 Sant Joan d'Alacant;Índice;2023;126,363
03121 Santa Pola;Índice;2023;116,472
03122 Sant Vicent del Raspeig/San Vicente del Raspeig;Índice;2023;121,805
03128 Teulada;Índice;2023;121,716
03133 Torrevieja;Índice;2023;114,537
03139 Vila Joiosa, la/Villajoyosa;Índice;2023;119,488
03140 Villena;Índice;2023;114,084
03902 Pilar de la Horadada;Índice;2023;117,133
Resto Alicante/Alacant;Índice;2023;117,279
04003 Adra;Índice;2023;109,637
04006 Albox;Índice;2023;129,478
04013 Almería;Índice;2023;117,249
04029 Berja;Índice;2023;94,240
04035 Cuevas del Almanzora;Índice;2023;114,590
04052 Huércal de Almería;Índice;2023;113,923
04053 Huércal-Overa;Índice;2023;119,010
04066 Níjar;Índice;2023;111,463
04075 Pulpí;Índice;2023;120,380
04079 Roquetas de Mar;Índice;2023;120,839
04100 Vera;Índice;2023;115,698
04102 Vícar;Índice;2023;122,448
04902 Ejido, El;Índice;2023;114,137
Resto Almería;Índice;2023;116,311
05019 Ávila;Índice;2023;119,682
Resto Ávila;Índice;2023;113,779
06011 Almendralejo;Índice;2023;114,197
06015 Badajoz;Índice;2023;115,329
06044 Don Benito;Índice;2023;110,989
06083 Mérida;Índice;2023;117,238
06088 Montijo;Índice;2023;108,047
06095 Olivenza;Índice;2023;109,253
06149 Villafranca de los Barros;Índice;2023;106,928
06153 Villanueva de la Serena;Índice;2023;112,545
06158 Zafra;Índice;2023;117,488
Resto Badajoz;Índice;2023;107,737
07003 Alcúdia;Índice;2023;118,528
07005 Andratx;Índice;2023;125,477
07011 Calvià;Índice;2023;122,789
07013 Campos;Índice;2023;122,547
07014 Capdepera;Índice;2023;123,266
07015 Ciutadella de Menorca;Índice;2023;120,360
07022 Felanitx;Índice;2023;124,152
07024 Formentera;Índice;2023;115,942
07026 Eivissa;Índice;2023;123,591
07027 Inca;Índice;2023;128,322
07031 Llucmajor;Índice;2023;123,683
07032 Maó;Índice;2023;125,127
07033 Manacor;Índice;2023;123,565
07036 Marratxí;Índice;2023;122,016
07040 Palma;Índice;2023;125,996
07042 Pollença;Índice;2023;116,100
07044 Pobla, Sa;Índice;2023;119,520
07046 Sant Antoni de Portmany;Índice;2023;122,957
07048 Sant Josep de sa Talaia;Índice;2023;122,140
07054 Santa Eulària des Riu;Índice;2023;123,074
07055 Santa Margalida;Índice;2023;118,143
07057 Santanyí;Índice;2023;118,043
07061 Sóller;Índice;2023;121,388
07062 Son Servera;Índice;2023;115,809
Resto Baleares, Illes;Índice;2023;121,521
08001 Abrera;Índice;2023;123,662
08006 Arenys de Mar;Índice;2023;119,000
08009 Argentona;Índice;2023;117,605
08015 Badalona;Índice;2023;117,567
08019 Barcelona;Índice;2023;120,582
08022 Berga;Índice;2023;117,903
08033 Caldes de Montbui;Índice;2023;119,379
08035 Calella;Índice;2023;118,207
08040 Canet de Mar;Índice;2023;119,381
08041 Canovelles;Índice;2023;119,927
08046 Cardedeu;Índice;2023;120,460
08051 Castellar del Vallès;Índice;2023;114,257
08054 Castellbisbal;Índice;2023;114,695
08056 Castelldefels;Índice;2023;120,962
08072 Corbera de Llobregat;Índice;2023;119,237
08073 Cornellà de Llobregat;Índice;2023;121,089
08074 Cubelles;Índice;2023;121,448
08076 Esparreguera;Índice;2023;118,729
08077 Esplugues de Llobregat;Índice;2023;120,079
08086 Franqueses del Vallès, Les;Índice;2023;124,254
08088 Garriga, La;Índice;2023;120,138
08089 Gavà;Índice;2023;119,374
08096 Granollers;Índice;2023;123,973
08101 Hospitalet de Llobregat, L';Índice;2023;122,545
08102 Igualada;Índice;2023;122,562
08105 Llagosta, La;Índice;2023;118,104
08106 Llinars del Vallès;Índice;2023;120,751
08107 Lliçà d'Amunt;Índice;2023;120,022
08110 Malgrat de Mar;Índice;2023;116,452
08112 Manlleu;Índice;2023;117,162
08113 Manresa;Índice;2023;119,398
08114 Martorell;Índice;2023;119,765
08118 Masnou, El;Índice;2023;118,970
08121 Mataró;Índice;2023;119,407
08123 Molins de Rei;Índice;2023;118,843
08124 Mollet del Vallès;Índice;2023;121,946
08125 Montcada i Reixac;Índice;2023;117,967
08126 Montgat;Índice;2023;115,996
08136 Montornès del Vallès;Índice;2023;118,479
08147 Olesa de Montserrat;Índice;2023;121,486
08156 Palau-solità i Plegamans;Índice;2023;122,171
08157 Pallejà;Índice;2023;113,683
08159 Parets del Vallès;Índice;2023;119,189
08161 Piera;Índice;2023;117,359
08163 Pineda de Mar;Índice;2023;115,117
08169 Prat de Llobregat, El;Índice;2023;117,780
08172 Premià de Mar;Índice;2023;118,354
08180 Ripollet;Índice;2023;119,232
08181 Roca del Vallès, La;Índice;2023;116,450
08184 Rubí;Índice;2023;124,075
08187 Sabadell;Índice;2023;122,912
08194 Sant Adrià de Besòs;Índice;2023;118,441
08196 Sant Andreu de la Barca;Índice;2023;120,697
08197 Sant Andreu de Llavaneres;Índice;2023;118,875
08200 Sant Boi de Llobregat;Índice;2023;117,808
08202 Sant Celoni;Índice;2023;121,597
08205 Sant Cugat del Vallès;Índice;2023;123,762
08211 Sant Feliu de Llobregat;Índice;2023;119,504
08217 Sant Joan Despí;Índice;2023;120,089
08218 Sant Joan de Vilatorrada;Índice;2023;118,308
08219 Vilassar de Mar;Índice;2023;120,994
08221 Sant Just Desvern;Índice;2023;117,919
08230 Premià de Dalt;Índice;2023;120,185
08231 Sant Pere de Ribes;Índice;2023;119,842
08238 Sant Quirze del Vallès;Índice;2023;120,228
08240 Sant Sadurní d'Anoia;Índice;2023;117,736
08245 Santa Coloma de Gramenet;Índice;2023;119,268
08250 Santa Margarida de Montbui;Índice;2023;120,396
08252 Barberà del Vallès;Índice;2023;117,043
08260 Santa Perpètua de Mogoda;Índice;2023;117,445
08263 Sant Vicenç dels Horts;Índice;2023;114,915
08266 Cerdanyola del Vallès;Índice;2023;120,085
08270 Sitges;Índice;2023;121,340
08279 Terrassa;Índice;2023;124,944
08284 Tordera;Índice;2023;118,614
08285 Torelló;Índice;2023;118,359
08295 Vallirana;Índice;2023;123,332
08298 Vic;Índice;2023;120,071
08301 Viladecans;Índice;2023;117,640
08302 Vilanova del Camí;Índice;2023;122,309
08305 Vilafranca del Penedès;Índice;2023;124,958
08307 Vilanova i la Geltrú;Índice;2023;118,800
08904 Badia del Vallès;Índice;2023;119,236
Resto Barcelona;Índice;2023;117,966
09018 Aranda de Duero;Índice;2023;113,136
09059 Burgos;Índice;2023;114,026
09219 Miranda de Ebro;Índice;2023;112,601
Resto Burgos;Índice;2023;110,676
10037 Cáceres;Índice;2023;114,139
10067 Coria;Índice;2023;113,335
10131 Navalmoral de la Mata;Índice;2023;112,742
10148 Plasencia;Índice;2023;114,289
Resto Cáceres;Índice;2023;111,298
11004 Algeciras;Índice;2023;116,801
11006 Arcos de la Frontera;Índice;2023;108,594
11007 Barbate;Índice;2023;113,369
11008 Barrios, Los;Índice;2023;112,813
11012 Cádiz;Índice;2023;111,880
11014 Conil de la Frontera;Índice;2023;115,841
11015 Chiclana de la Frontera;Índice;2023;115,777
11016 Chipiona;Índice;2023;112,770
11020 Jerez de la Frontera;Índice;2023;117,994
11022 Línea de la Concepción, La;Índice;2023;115,760
11023 Medina Sidonia;Índice;2023;113,927
11027 Puerto de Santa María, El;Índice;2023;113,935
11028 Puerto Real;Índice;2023;115,117
11030 Rota;Índice;2023;111,654
11031 San Fernando;Índice;2023;114,538
11032 Sanlúcar de Barrameda;Índice;2023;116,332
11033 San Roque;Índice;2023;119,175
11035 Tarifa;Índice;2023;112,851
11038 Ubrique;Índice;2023;105,737
11039 Vejer de la Frontera;Índice;2023;120,189
11041 Villamartín;Índice;2023;100,726
Resto Cádiz;Índice;2023;115,619
12005 Alcora, l';Índice;2023;122,442
12009 Almassora;Índice;2023;121,901
12027 Benicarló;Índice;2023;116,972
12028 Benicàssim/Benicasim;Índice;2023;115,857
12032 Borriana/Burriana;Índice;2023;113,388
12040 Castelló de la Plana;Índice;2023;121,131
12082 Nules;Índice;2023;112,680
12084 Onda;Índice;2023;123,434
12126 Vall d'Uixó, la;Índice;2023;112,516
12135 Vila-real;Índice;2023;123,669
12138 Vinaròs;Índice;2023;116,842
Resto Castellón/Castelló;Índice;2023;116,968
13005 Alcázar de San Juan;Índice;2023;115,107
13023 Bolaños de Calatrava;Índice;2023;127,529
13028 Campo de Criptana;Índice;2023;109,469
13034 Ciudad Real;Índice;2023;115,036
13039 Daimiel;Índice;2023;102,294
13053 Manzanares;Índice;2023;106,480
13056 Miguelturra;Índice;2023;118,146
13071 Puertollano;Índice;2023;109,983
13078 Socuéllamos;Índice;2023;117,348
13079 Solana, La;Índice;2023;110,222
13082 Tomelloso;Índice;2023;117,299
13087 Valdepeñas;Índice;2023;114,485
Resto Ciudad Real;Índice;2023;105,423
14002 Aguilar de la Frontera;Índice;2023;103,039
14007 Baena;Índice;2023;101,196
14013 Cabra;Índice;2023;109,104
14017 Carlota, La;Índice;2023;121,466
14021 Córdoba;Índice;2023;111,714
14038 Lucena;Índice;2023;119,846
14042 Montilla;Índice;2023;109,079
14049 Palma del Río;Índice;2023;101,341
14052 Peñarroya-Pueblonuevo;Índice;2023;107,205
14054 Pozoblanco;Índice;2023;112,920
14055 Priego de Córdoba;Índice;2023;108,500
14056 Puente Genil;Índice;2023;116,901
Resto Córdoba;Índice;2023;106,628
15002 Ames;Índice;2023;116,021
15005 Arteixo;Índice;2023;114,141
15009 Betanzos;Índice;2023;111,872
15011 Boiro;Índice;2023;117,298
15017 Cambre;Índice;2023;113,231
15019 Carballo;Índice;2023;114,024
15030 Coruña, A;Índice;2023;115,661
15031 Culleredo;Índice;2023;115,932
15035 Fene;Índice;2023;105,063
15036 Ferrol;Índice;2023;110,956
15041 Laracha, A;Índice;2023;113,121
15054 Narón;Índice;2023;110,730
15057 Noia;Índice;2023;111,774
15058 Oleiros;Índice;2023;114,466
15059 Ordes;Índice;2023;111,191
15070 Pontes de García Rodríguez, As;Índice;2023;110,909
15072 Rianxo;Índice;2023;107,058
15073 Ribeira;Índice;2023;107,825
15075 Sada;Índice;2023;108,465
15078 Santiago de Compostela;Índice;2023;115,276
15082 Teo;Índice;2023;110,395
Resto Coruña, A;Índice;2023;112,588
16078 Cuenca;Índice;2023;118,245
16203 Tarancón;Índice;2023;126,567
Resto Cuenca;Índice;2023;111,197
17015 Banyoles;Índice;2023;119,685
17022 Bisbal d'Empordà, La;Índice;2023;116,511
17023 Blanes;Índice;2023;115,760
17034 Calonge i Sant Antoni;Índice;2023;113,885
17044 Cassà de la Selva;Índice;2023;118,513
17047 Castelló d'Empúries;Índice;2023;108,583
17048 Castell d'Aro, Platja d'Aro i s'Agaró;Índice;2023;112,683
17062 Escala, L';Índice;2023;117,116
17066 Figueres;Índice;2023;115,642
17079 Girona;Índice;2023;123,513
17095 Lloret de Mar;Índice;2023;114,147
17114 Olot;Índice;2023;120,266
17117 Palafrugell;Índice;2023;117,733
17118 Palamós;Índice;2023;114,600
17147 Ripoll;Índice;2023;111,270
17152 Roses;Índice;2023;112,028
17155 Salt;Índice;2023;116,357
17160 Sant Feliu de Guíxols;Índice;2023;114,887
17180 Santa Coloma de Farners;Índice;2023;116,580
17199 Torroella de Montgrí;Índice;2023;117,839
Resto Girona;Índice;2023;115,363
18003 Albolote;Índice;2023;121,482
18017 Almuñécar;Índice;2023;110,526
18021 Armilla;Índice;2023;124,354
18022 Atarfe;Índice;2023;122,219
18023 Baza;Índice;2023;110,905
18062 Churriana de la Vega;Índice;2023;124,304
18087 Granada;Índice;2023;119,113
18089 Guadix;Índice;2023;117,870
18100 Huétor Tájar;Índice;2023;113,652
18101 Huétor Vega;Índice;2023;114,195
18102 Íllora;Índice;2023;104,002
18122 Loja;Índice;2023;119,656
18127 Maracena;Índice;2023;118,714
18140 Motril;Índice;2023;114,229
18145 Ogíjares;Índice;2023;119,999
18153 Peligros;Índice;2023;112,262
18173 Salobreña;Índice;2023;113,677
18175 Santa Fe;Índice;2023;127,423
18193 Zubia, La;Índice;2023;119,751
18905 Gabias, Las;Índice;2023;123,666
18911 Vegas del Genil;Índice;2023;114,515
Resto Granada;Índice;2023;117,321
19024 Alovera;Índice;2023;121,531
19046 Azuqueca de Henares;Índice;2023;121,895
19058 Cabanillas del Campo;Índice;2023;118,974
19071 Casar, El;Índice;2023;119,079
19130 Guadalajara;Índice;2023;121,113
Resto Guadalajara;Índice;2023;119,590
21002 Aljaraque;Índice;2023;112,020
21005 Almonte;Índice;2023;111,083
21010 Ayamonte;Índice;2023;112,838
21013 Bollullos Par del Condado;Índice;2023;111,217
21021 Cartaya;Índice;2023;116,019
21035 Gibraleón;Índice;2023;124,309
21041 Huelva;Índice;2023;118,483
21042 Isla Cristina;Índice;2023;113,926
21044 Lepe;Índice;2023;108,979
21050 Moguer;Índice;2023;103,479
21054 Palma del Condado, La;Índice;2023;125,003
21055 Palos de la Frontera;Índice;2023;100,049
21060 Punta Umbría;Índice;2023;106,266
21072 Valverde del Camino;Índice;2023;111,879
Resto Huelva;Índice;2023;112,145
22048 Barbastro;Índice;2023;119,590
22112 Fraga;Índice;2023;114,888
22125 Huesca;Índice;2023;120,594
22130 Jaca;Índice;2023;112,951
22158 Monzón;Índice;2023;113,891
Resto Huesca;Índice;2023;113,906
23002 Alcalá la Real;Índice;2023;112,100
23003 Alcaudete;Índice;2023;102,470
23005 Andújar;Índice;2023;115,091
23009 Baeza;Índice;2023;117,873
23010 Bailén;Índice;2023;103,462
23024 Carolina, La;Índice;2023;109,703
23050 Jaén;Índice;2023;113,531
23053 Jódar;Índice;2023;127,509
23055 Linares;Índice;2023;106,718
23058 Mancha Real;Índice;2023;107,853
23060 Martos;Índice;2023;112,981
23086 Torredelcampo;Índice;2023;115,293
23087 Torredonjimeno;Índice;2023;102,935
23092 Úbeda;Índice;2023;111,916
23095 Villacarrillo;Índice;2023;106,943
Resto Jaén;Índice;2023;109,708
24008 Astorga;Índice;2023;107,127
24010 Bañeza, La;Índice;2023;108,874
24089 León;Índice;2023;111,289
24115 Ponferrada;Índice;2023;109,135
24142 San Andrés del Rabanedo;Índice;2023;110,220
24222 Villaquilambre;Índice;2023;111,300
Resto León;Índice;2023;107,963
25040 Balaguer;Índice;2023;112,596
25120 Lleida;Índice;2023;116,880
25137 Mollerussa;Índice;2023;117,037
