cod_municipio,municipio,latitud,longitud,poblacion,g_supermercados_count,g_supermercados_reviews,g_supermercados_rating_wavg,g_conveniencia_count,g_conveniencia_reviews,g_conveniencia_rating_wavg,g_farmacias_count,g_farmacias_reviews,g_farmacias_rating_wavg,g_bancos_count,g_bancos_reviews,g_bancos_rating_wavg,g_cajeros_count,g_cajeros_reviews,g_cajeros_rating_wavg,g_gasolineras_count,g_gasolineras_reviews,g_gasolineras_rating_wavg,g_hospitales_clinicas_count,g_hospitales_clinicas_reviews,g_hospitales_clinicas_rating_wavg,g_medicos_familia_count,g_medicos_familia_reviews,g_medicos_familia_rating_wavg,g_escuelas_infantiles_count,g_escuelas_infantiles_reviews,g_escuelas_infantiles_rating_wavg,g_colegios_institutos_count,g_colegios_institutos_reviews,g_colegios_institutos_rating_wavg,g_universidad_fp_count,g_universidad_fp_reviews,g_universidad_fp_rating_wavg,g_paradas_bus_count,g_paradas_bus_reviews,g_paradas_bus_rating_wavg,g_estaciones_principales_count,g_estaciones_principales_reviews,g_estaciones_principales_rating_wavg,g_aparcamientos_count,g_aparcamientos_reviews,g_aparcamientos_rating_wavg,g_restaurantes_count,g_restaurantes_reviews,g_restaurantes_rating_wavg,g_cafeterias_count,g_cafeterias_reviews,g_cafeterias_rating_wavg,g_bares_count,g_bares_reviews,g_bares_rating_wavg,g_cines_count,g_cines_reviews,g_cines_rating_wavg,g_gimnasios_count,g_gimnasios_reviews,g_gimnasios_rating_wavg,g_parques_count,g_parques_reviews,g_parques_rating_wavg,g_centros_comerciales_count,g_centros_comerciales_reviews,g_centros_comerciales_rating_wavg,g_comisarias_count,g_comisarias_reviews,g_comisarias_rating_wavg,g_bomberos_count,g_bomberos_reviews,g_bomberos_rating_wavg,g_ayuntamientos_count,g_ayuntamientos_reviews,g_ayuntamientos_rating_wavg,g_juzgados_count,g_juzgados_reviews,g_juzgados_rating_wavg,aq_aqi,aq_co_value,aq_no2_value,aq_o3_value,aq_pm10_value,aq_pm25_value,aq_so2_value
590,Fuente el Saz de Jarama,40.63877,-3.51129,7384.0,5,3207,4.132,3,288,4.576,3,219,4.487,2,40,2.6,2,20,1.9,4,352,3.772,21,730,4.232,3,100,2.9,20,714,4.231,7,13,5.0,21,714,4.231,20,714,4.231,20,16,3.619,3,5,3.8,20,4348,4.263,4,883,4.09,19,3208,4.32,0,0,,5,196,4.626,9,30,3.987,2,28,3.143,1,0,,0,0,,1,200,3.6,20,714,4.231,77,425.13,7.54,29.36,18.17,8.73,1.98
604,Fuentidueña de Tajo,40.11819,-3.159549,2319.0,3,178,4.024,0,0,,1,32,4.3,2,10,2.72,2,3,2.3,1,298,3.8,20,1199,4.114,1,1,5.0,20,1199,4.114,2,0,,20,1199,4.114,21,1199,4.114,7,3,5.0,3,3,4.0,4,6458,4.193,1,139,4.3,6,3800,4.287,0,0,,2,67,4.028,13,47,4.609,0,0,,1,4,5.0,0,0,,2,42,4.295,20,1199,4.114,70,264.7,10.83,19.31,18.58,18.58,1.88
611,Galapagar,40.57736,-4.00357,36112.0,14,5810,4.111,5,16,4.0,11,388,4.099,7,394,3.715,8,341,3.977,10,1506,4.131,22,2254,4.238,14,442,4.436,20,2225,4.231,20,157,4.866,21,2225,4.231,23,2231,4.228,20,33,3.918,8,120,3.084,20,10980,4.243,18,3540,4.389,20,6726,4.307,0,0,,14,1116,4.158,20,1211,4.146,0,0,,2,20,4.3,1,2,5.0,2,457,2.972,20,2225,4.231,55,418.88,10.13,2.47,29.11,29.11,1.55
626,Garganta de los Montes,40.92143,-3.689205,415.0,1,16,4.8,0,0,,1,10,4.9,0,0,,0,0,,0,0,,20,1476,4.453,0,0,,20,1476,4.453,0,0,,20,1476,4.453,21,1476,4.453,11,3,3.7,1,1,3.0,2,886,4.229,0,0,,2,511,4.399,0,0,,0,0,,20,51,4.824,0,0,,0,0,,0,0,,0,0,,20,1476,4.453,79,333.9,2.34,26.22,12.71,8.51,0.98
632,Gargantilla del Lozoya y Pinilla de Buitrago,40.96463,-3.718601,401.0,2,144,4.3,0,0,,1,17,4.8,0,0,,0,0,,0,0,,20,5737,4.341,0,0,,20,5737,4.341,1,0,,20,5737,4.341,21,5737,4.341,14,1,5.0,0,0,,7,2263,4.097,1,186,4.1,5,744,4.118,0,0,,0,0,,10,1905,4.286,0,0,,0,0,,0,0,,0,0,,20,5737,4.341,77,331.72,3.06,27.73,18.33,14.11,0.96
647,Gascones,41.01809,-3.641817,236.0,0,0,,0,0,,1,3,5.0,0,0,,0,0,,2,132,4.1,20,2505,4.683,0,0,,20,2505,4.683,1,0,,20,2505,4.683,23,2512,4.682,12,8,4.25,5,3,4.3,7,3563,4.308,0,0,,6,4051,4.424,0,0,,0,0,,12,533,4.211,0,0,,0,0,,0,0,,2,34,4.4,20,2505,4.683,75,287.67,3.16,31.11,14.35,11.46,0.81
663,Griñón,40.21424,-3.856192,10714.0,7,2936,4.108,2,5,4.2,4,165,4.341,8,140,2.402,7,126,2.434,5,399,3.721,22,8445,4.308,9,677,4.612,20,8399,4.313,18,89,4.598,20,8399,4.313,20,8399,4.313,20,3,4.667,10,3,5.0,20,10307,4.207,5,770,4.112,17,5491,4.251,0,0,,9,203,4.724,16,500,4.035,2,377,4.2,2,14,4.1,0,0,,0,0,,20,8399,4.313,73,401.91,11.99,5.98,28.82,16.74,0.9
679,Guadalix de la Sierra,40.78483,-3.692719,6912.0,4,1163,3.786,1,94,4.4,3,110,4.611,2,33,3.015,2,25,3.5,2,302,4.0,20,518,4.413,1,2,5.0,20,518,4.413,8,48,4.96,20,518,4.413,21,520,4.414,17,12,4.492,9,49,4.147,20,6168,4.387,6,718,4.318,16,7607,4.349,0,0,,3,292,4.027,9,20,4.215,0,0,,0,0,,0,0,,2,475,3.9,20,518,4.413,78,447.97,4.79,16.84,23.48,13.91,1.4
685,Guadarrama,40.67348,-4.090732,17069.0,11,3232,3.991,2,427,3.848,4,200,3.74,3,72,2.337,3,53,2.351,5,1281,4.1,27,13110,4.403,6,38,4.408,20,12932,4.408,11,40,4.85,20,12932,4.408,21,12932,4.408,20,18,4.167,3,152,4.216,20,32663,4.449,14,4267,4.376,20,18037,4.493,0,0,,12,434,4.798,20,1240,4.229,0,0,,2,7,3.9,0,0,,1,542,3.8,20,12932,4.408,56,448.58,7.41,7.57,28.51,28.51,1.52
698,Hiruela (La),41.0785,-3.454731,84.0,0,0,,2,23,4.252,0,0,,0,0,,0,0,,0,0,,20,716,3.934,0,0,,20,716,3.934,0,0,,20,716,3.934,20,716,3.934,1,0,,4,170,4.4,2,648,3.869,0,0,,2,164,4.009,0,0,,0,0,,20,213,4.492,0,0,,0,0,,1,0,,1,22,4.2,20,716,3.934,72,263.01,1.41,35.29,4.84,4.45,0.61
702,Horcajo de la Sierra,41.06738,-3.585321,231.0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,20,699,4.371,1,0,,20,699,4.371,1,7,5.0,20,699,4.371,22,701,4.372,11,6,4.0,1,0,,2,651,4.328,0,0,,3,819,4.322,0,0,,0,0,,7,58,3.336,0,0,,0,0,,0,0,,2,17,4.282,20,699,4.371,74,272.79,1.63,33.17,6.88,5.83,0.71
719,Horcajuelo de la Sierra,41.06009,-3.54552,111.0,1,11,3.3,0,0,,2,4,5.0,0,0,,0,0,,0,0,,21,5192,4.509,0,0,,20,5192,4.509,1,0,,21,5192,4.509,22,5200,4.509,7,10,4.84,4,11,4.818,9,4832,4.502,1,150,4.0,4,2233,4.474,0,0,,1,0,,14,1559,4.278,0,0,,0,0,,1,0,,3,93,4.508,20,5192,4.509,73,268.24,1.58,33.91,5.87,5.17,0.7
724,Hoyo de Manzanares,40.62273,-3.90712,9186.0,3,769,4.014,2,323,3.92,3,47,4.868,5,18,3.0,6,18,3.0,1,152,4.1,20,4088,4.477,3,54,3.307,20,4088,4.477,5,4,5.0,20,4088,4.477,21,4088,4.477,19,7,3.714,6,202,4.298,20,10646,4.443,4,784,4.456,16,5046,4.344,1,23,3.7,4,74,4.736,18,492,4.511,0,0,,1,3,2.7,0,0,,1,113,4.0,20,4088,4.477,59,477.38,10.26,8.36,25.77,25.77,1.58
730,Humanes de Madrid,40.24954,-3.827206,20054.0,12,3846,4.087,3,309,3.593,8,368,4.362,7,136,2.54,10,69,2.128,14,903,3.963,22,14658,4.365,6,547,3.834,20,14658,4.365,16,188,4.251,21,14658,4.365,21,14660,4.365,20,99,2.393,20,17,3.476,20,7144,4.251,19,2326,4.368,20,4690,4.357,1,3,4.7,17,1333,4.646,20,861,3.954,1,4,4.3,1,0,,0,0,,1,488,3.8,20,14658,4.365,80,408.17,10.85,1.46,21.93,12.48,0.95
758,Loeches,40.38393,-3.409393,9253.0,3,427,3.629,3,450,3.893,3,234,4.284,4,73,2.322,4,54,2.506,2,520,3.874,20,664,4.531,3,22,4.405,20,664,4.531,6,4,4.0,20,664,4.531,21,664,4.531,20,8,4.237,2,0,,18,5349,4.255,6,1275,4.233,14,3852,4.386,1,14,4.8,4,404,4.646,13,111,3.957,0,0,,1,0,,0,0,,1,343,3.7,20,664,4.531,84,376.35,13.03,6.95,18.48,8.5,2.54
761,Lozoya,40.9515,-3.791897,620.0,1,106,3.9,0,0,,1,11,4.3,1,0,,1,0,,1,116,4.1,20,3915,4.27,0,0,,20,3915,4.27,3,131,4.7,20,3915,4.27,20,3915,4.27,3,1,3.0,2,294,3.833,12,7623,4.337,3,2021,4.628,9,5520,4.252,0,0,,0,0,,6,977,4.412,0,0,,0,0,,0,0,,1,48,4.0,20,3915,4.27,77,331.36,1.69,29.61,15.04,12.4,1.06
9015,Lozoyuela-Navas-Sieteiglesias,40.92643,-3.617723,1479.0,1,615,4.1,0,0,,1,33,3.8,1,14,2.4,1,14,2.4,2,1060,3.844,20,1373,4.303,1,0,,20,1373,4.303,2,0,,20,1373,4.303,23,1381,4.307,19,12,4.5,1,4,5.0,4,2785,4.418,1,62,4.8,3,92,4.152,0,0,,3,12,4.5,3,41,3.488,1,19,4.1,1,8,4.3,1,11,4.7,0,0,,20,1373,4.303,77,284.0,1.76,29.18,8.99,5.88,0.86
783,Madarcos,41.04731,-3.582663,70.0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,21,635,4.294,1,0,,20,634,4.293,1,7,5.0,20,634,4.293,23,637,4.295,9,5,4.2,1,0,,3,900,4.265,0,0,,4,1068,4.27,0,0,,0,0,,16,117,4.315,0,0,,0,0,,0,0,,3,31,4.335,20,634,4.293,74,268.95,1.59,33.23,6.65,5.75,0.73
822,Manzanares el Real,40.72705,-3.864914,9539.0,3,916,3.538,2,638,3.559,2,78,4.124,3,18,3.444,2,14,3.0,2,137,3.896,20,1590,4.273,3,90,3.331,20,1590,4.273,7,15,4.74,20,1590,4.273,21,1594,4.273,9,27,4.593,16,339,4.168,20,8477,4.141,3,694,3.948,16,5323,4.158,1,63,4.5,9,122,4.96,20,1159,4.4,0,0,,2,3,3.7,0,0,,1,397,3.9,20,1590,4.273,71,429.15,4.2,22.9,17.79,17.79,1.51
838,Meco,40.5542,-3.328439,15812.0,8,2916,4.08,1,477,3.8,4,244,4.268,5,85,2.482,5,55,2.036,3,510,3.887,21,1111,4.514,1,20,4.5,20,1111,4.514,6,41,4.573,20,1111,4.514,20,1111,4.514,20,11,4.273,13,33,4.267,18,6193,4.138,7,1269,4.066,6,1815,4.192,0,0,,5,633,4.594,17,985,4.466,1,481,3.7,2,5,5.0,0,0,,1,141,3.6,20,1111,4.514,86,354.63,6.79,9.41,16.13,7.22,1.51
843,Mejorada del Campo,40.39701,-3.487864,24632.0,13,6978,4.027,3,291,3.608,7,272,3.958,8,139,1.98,11,91,2.075,7,937,4.057,22,1707,4.265,12,572,4.674,20,1654,4.284,15,16,4.756,20,1654,4.284,21,1655,4.284,20,27,4.522,20,16,3.763,20,11443,4.057,17,3722,4.302,20,4834,4.188,0,0,,12,845,4.475,20,1349,3.994,0,0,,1,19,3.7,0,0,,1,167,3.8,20,1654,4.284,88,374.03,16.15,4.4,12.63,5.34,2.7
856,Miraflores de la Sierra,40.81381,-3.766699,7209.0,5,949,3.914,1,229,4.1,3,140,4.371,2,24,2.829,2,17,2.8,2,207,4.195,22,2166,4.448,4,227,4.213,20,2164,4.451,5,0,,20,2164,4.451,20,2164,4.451,8,8,3.237,3,11,4.636,20,9728,4.311,3,1264,4.094,19,6601,4.35,1,117,3.7,4,182,4.465,17,567,4.473,0,0,,1,6,3.7,0,0,,1,325,4.1,20,2164,4.451,75,389.51,3.66,20.5,22.1,15.77,1.32
869,Molar (El),40.73291,-3.582258,10079.0,5,1584,3.743,3,334,3.8,3,158,4.286,4,124,2.656,5,76,3.309,3,1869,3.899,22,942,4.324,3,106,3.321,20,896,4.411,12,177,4.807,20,896,4.411,21,896,4.411,20,41,4.244,8,30,3.617,20,14058,4.313,11,3354,4.104,20,4666,4.361,0,0,,4,70,4.773,20,538,4.191,0,0,,2,6,4.2,0,0,,2,491,3.644,20,896,4.411,83,354.93,3.24,21.78,14.0,6.51,1.5
875,Molinos (Los),40.71456,-4.072706,4812.0,2,912,3.807,1,1,3.0,3,58,4.633,1,8,2.5,1,0,,2,203,4.246,21,2468,4.382,4,116,4.427,20,2386,4.367,5,19,4.579,20,2386,4.367,20,2386,4.367,20,42,4.314,4,9,3.333,20,6664,4.334,0,0,,16,3816,4.301,0,0,,5,47,4.947,9,216,4.214,0,0,,2,7,3.3,0,0,,0,0,,20,2386,4.367,61,403.69,3.19,14.62,23.88,23.88,1.49
881,Montejo de la Sierra,41.05928,-3.530301,374.0,1,11,3.3,0,0,,2,4,5.0,0,0,,0,0,,0,0,,21,5192,4.509,0,0,,20,5192,4.509,1,0,,21,5192,4.509,22,5200,4.509,7,10,4.84,4,11,4.818,9,4832,4.502,1,150,4.0,4,2233,4.474,0,0,,1,0,,11,1555,4.278,0,0,,0,0,,1,0,,3,93,4.508,20,5192,4.509,73,265.27,3.13,34.13,9.66,8.19,0.7
894,Moraleja de Enmedio,40.26033,-3.861412,5630.0,4,1557,4.326,3,9,3.344,1,33,4.4,3,25,3.068,3,17,2.835,5,236,4.147,21,12911,4.372,1,54,5.0,20,12911,4.372,6,129,4.133,21,12911,4.372,22,12913,4.371,20,4,2.0,5,21,4.514,20,5272,4.191,6,487,4.267,14,2477,4.204,0,0,,8,1136,4.396,20,75,4.26,0,0,,1,0,,0,0,,1,179,3.6,20,12911,4.372,82,418.87,10.58,2.11,20.63,11.39,0.88
908,Moralzarzal,40.68117,-3.97335,14504.0,6,3704,4.098,0,0,,3,198,3.08,4,62,3.758,4,38,4.174,4,356,4.159,22,3633,4.253,7,386,2.743,20,3346,4.378,13,210,4.523,20,3346,4.378,21,3374,4.372,19,35,3.76,3,29,4.366,20,8266,4.385,10,2288,4.272,20,9605,4.353,0,0,,18,2014,4.438,20,1198,4.409,2,3,3.7,1,0,,0,0,,1,304,3.7,20,3346,4.378,57,417.41,5.72,8.15,27.31,27.31,1.53
915,Morata de Tajuña,40.22751,-3.436966,8294.0,4,730,4.1,4,306,4.123,2,52,4.727,4,56,2.764,5,42,2.638,2,3,2.667,21,408,4.133,4,32,4.709,20,408,4.133,4,0,,20,408,4.133,20,408,4.133,20,7,3.429,2,0,,16,7797,4.291,5,1197,4.27,12,3761,4.34,1,9,5.0,3,41,4.224,20,551,4.458,0,0,,2,5,4.2,0,0,,1,165,4.0,20,408,4.133,77,303.48,8.76,9.55,21.96,14.42,2.18
936,Navacerrada,40.72893,-4.0151,3307.0,2,420,3.929,0,0,,1,42,3.7,1,10,3.7,2,1,5.0,2,239,4.104,20,7580,4.464,5,168,4.978,20,7580,4.464,4,0,,20,7580,4.464,20,7580,4.464,20,38,4.466,4,25,3.9,20,19064,4.362,4,2923,4.048,20,9712,4.24,0,0,,2,10,4.42,20,754,4.468,0,0,,1,0,,1,28,4.7,1,204,3.8,20,7580,4.464,64,416.76,2.91,20.39,22.32,22.32,1.47
941,Navalafuente,40.82451,-3.673573,1703.0,2,43,4.6,0,0,,2,36,4.4,1,12,4.5,0,0,,1,98,3.4,20,1213,4.049,1,0,,20,1213,4.049,2,0,,20,1213,4.049,20,1213,4.049,15,6,4.2,2,20,4.5,3,1121,4.371,2,771,4.409,3,1045,4.255,0,0,,2,8,5.0,15,1318,4.135,0,0,,0,0,,0,0,,1,48,3.9,20,1213,4.049,80,348.32,4.09,18.35,21.99,11.9,1.24
954,Navalagamella,40.46916,-4.12338,3119.0,1,128,4.2,0,0,,1,37,4.7,2,27,2.744,3,16,3.156,0,0,,20,1225,4.327,0,0,,20,1225,4.327,3,23,4.8,21,1229,4.33,21,1226,4.328,5,3,4.667,5,118,4.287,4,407,4.482,0,0,,5,503,4.3,0,0,,1,3,5.0,9,534,4.396,0,0,,1,0,,0,0,,1,117,4.0,20,1225,4.327,71,294.63,7.73,12.48,17.95,17.95,1.73
967,Navalcarnero,40.28781,-4.013766,32684.0,12,8102,4.18,5,946,4.173,9,535,4.372,7,205,2.053,10,168,2.033,9,844,4.232,27,4453,4.44,20,2248,4.636,20,3688,4.463,17,45,4.804,20,3688,4.463,21,3691,4.462,20,83,4.339,14,133,3.908,20,15835,4.198,13,5338,4.208,20,6956,4.146,0,0,,20,2909,4.516,20,1047,4.146,4,327,4.071,2,13,3.2,0,0,,0,0,,20,3688,4.463,86,361.27,9.36,9.41,15.23,8.59,1.21
973,Navarredonda y San Mamés,40.99078,-3.726047,154.0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,20,1291,4.321,1,0,,20,1291,4.321,0,0,,20,1291,4.321,21,1291,4.321,8,1,1.0,2,39,3.764,1,65,4.8,0,0,,2,233,4.509,0,0,,0,0,,8,19,4.753,0,0,,0,0,,0,0,,2,11,4.364,20,1291,4.321,78,301.72,1.8,28.48,12.33,9.48,0.94
992,Navas del Rey,40.38501,-4.250652,3344.0,4,417,3.811,2,37,4.724,2,24,3.646,3,33,4.512,1,0,,2,586,4.532,20,830,4.156,2,7,4.857,20,830,4.156,3,568,4.8,20,830,4.156,21,833,4.148,8,21,4.357,1,0,,8,2311,4.298,6,1458,4.238,10,1832,4.246,0,0,,2,48,4.6,7,603,4.803,0,0,,2,24,4.2,0,0,,1,77,3.4,20,830,4.156,79,150.32,3.01,26.36,7.89,7.89,2.5
1006,Nuevo Baztán,40.36552,-3.243183,7393.0,4,1482,3.731,0,0,,3,44,4.064,1,42,2.4,2,2,2.5,1,97,3.8,20,1912,3.885,3,254,5.0,20,1912,3.885,5,16,4.5,20,1912,3.885,22,1912,3.885,20,8,3.375,14,4,4.5,20,5896,3.958,3,1116,4.079,18,2854,4.219,0,0,,3,0,,20,244,4.275,4,673,3.595,0,0,,0,0,,1,35,4.6,20,1912,3.885,79,293.49,7.21,26.3,10.66,10.54,2.03
1013,Olmeda de las Fuentes,40.36943,-3.221704,409.0,2,162,3.691,0,0,,2,39,4.046,0,0,,0,0,,1,97,3.8,20,1756,3.844,3,254,5.0,20,1756,3.844,4,16,4.5,20,1756,3.844,21,1756,3.844,12,1,5.0,9,4,4.5,10,4803,3.866,1,562,3.9,6,1939,4.19,0,0,,0,0,,18,278,4.254,0,0,,0,0,,0,0,,1,35,4.6,20,1756,3.844,79,290.64,5.28,27.2,7.73,7.73,2.01
1028,Orusco de Tajuña,40.28515,-3.208557,1504.0,2,49,4.806,0,0,,1,1,5.0,0,0,,1,0,,1,197,3.8,20,614,4.195,0,0,,20,614,4.195,2,0,,20,614,4.195,20,614,4.195,6,2,4.0,1,0,,2,356,4.209,0,0,,3,248,4.364,0,0,,1,0,,2,51,4.118,0,0,,0,0,,0,0,,1,34,4.0,20,614,4.195,71,261.97,6.51,37.07,14.38,14.38,1.91
1049,Paracuellos de Jarama,40.50481,-3.53227,27241.0,8,3393,4.144,6,270,4.64,7,425,4.369,7,222,3.008,8,205,3.017,7,924,3.899,23,2331,4.22,8,361,3.676,20,2143,4.334,13,4,5.0,20,2143,4.334,21,2143,4.334,20,4,3.0,14,755,3.731,20,8589,4.174,15,3725,4.268,20,4354,4.273,0,0,,17,861,4.712,20,121,4.178,1,1764,3.7,2,18,3.2,0,0,,2,109,2.266,20,2143,4.334,84,378.87,12.93,9.93,17.99,8.18,2.53
1071,Patones,40.85573,-3.48511,604.0,2,91,4.142,1,2,3.5,3,34,4.847,1,2,1.0,2,2,1.0,1,71,3.7,21,2552,4.306,2,16,4.119,20,2547,4.305,4,0,,21,2547,4.305,20,2547,4.305,20,38,4.495,3,4,3.0,20,9190,4.303,0,0,,8,1195,4.354,0,0,,0,0,,11,21,4.848,0,0,,0,0,,0,0,,3,231,3.609,20,2547,4.305,74,265.58,2.68,32.52,10.12,7.89,0.81
1087,Pedrezuela,40.74369,-3.603798,6475.0,5,1584,3.743,3,334,3.8,3,158,4.286,4,124,2.656,5,76,3.309,0,0,,21,550,4.326,3,106,3.321,20,534,4.36,11,51,4.824,20,534,4.36,21,534,4.36,20,16,4.394,8,29,4.031,20,12107,4.346,11,3354,4.104,20,4219,4.399,0,0,,4,70,4.773,20,483,4.127,0,0,,1,6,4.2,0,0,,2,491,3.644,20,534,4.36,84,363.35,3.01,20.56,14.95,7.18,1.5
1090,Pelayos de la Presa,40.35954,-4.334138,3106.0,1,226,3.3,1,9,4.3,1,28,2.4,3,26,2.654,5,18,2.667,2,331,3.825,20,1557,4.331,1,59,4.5,20,1557,4.331,4,1,5.0,20,1557,4.331,20,1557,4.331,9,17,4.376,5,60,4.06,18,9118,3.99,4,1879,4.259,11,785,3.979,1,316,4.6,5,37,4.973,14,1841,4.473,1,0,,1,0,,0,0,,0,0,,20,1557,4.331,75,106.15,1.33,31.43,6.21,6.21,2.77
1104,Perales de Tajuña,40.23453,-3.352198,3195.0,2,86,4.447,2,2,5.0,1,7,4.7,2,15,2.333,2,5,3.4,4,1478,3.817,20,483,3.88,0,0,,20,483,3.88,1,0,,20,483,3.88,21,484,3.882,10,13,4.008,4,6,4.0,8,5173,4.114,4,2658,3.758,7,4442,4.139,0,0,,1,0,,9,48,4.344,0,0,,1,1,5.0,0,0,,1,69,3.8,20,483,3.88,76,284.1,10.08,18.02,16.87,14.98,2.04
1111,Pezuela de las Torres,40.41869,-3.177605,990.0,2,76,4.747,0,0,,2,21,4.9,0,0,,0,0,,0,0,,21,267,4.536,0,0,,20,264,4.539,2,11,5.0,20,264,4.539,20,264,4.539,3,5,4.42,0,0,,1,159,4.7,1,1,5.0,3,249,4.592,0,0,,0,0,,19,49,4.014,0,0,,1,0,,0,0,,1,61,4.3,20,264,4.539,85,297.58,7.54,19.18,12.02,9.07,1.91
1126,Pinilla del Valle,40.9262,-3.819392,199.0,0,0,,1,1,5.0,1,15,4.7,0,0,,0,0,,0,0,,20,2322,4.35,0,0,,20,2322,4.35,1,0,,20,2322,4.35,21,2325,4.35,6,7,4.586,1,28,4.4,7,2762,4.339,0,0,,3,922,4.399,0,0,,1,0,,12,405,4.499,0,0,,0,0,,0,0,,2,40,4.342,20,2322,4.35,76,349.62,1.57,31.09,15.83,13.82,1.12
1147,Piñuécar-Gandullas,41.03265,-3.599468,185.0,0,0,,0,0,,0,0,,0,0,,0,0,,2,883,3.9,20,1870,4.597,1,0,,20,1870,4.597,1,7,5.0,20,1870,4.597,24,1872,4.597,11,6,4.5,0,0,,5,972,4.339,1,465,3.9,4,1816,4.621,0,0,,0,0,,16,108,4.355,0,0,,0,0,,0,0,,2,22,4.473,20,1870,4.597,74,271.18,1.61,32.75,7.15,6.13,0.75
1163,Pozuelo del Rey,40.36622,-3.321994,1302.0,0,0,,0,0,,1,18,4.9,0,0,,0,0,,0,0,,20,281,4.106,0,0,,20,281,4.106,2,1,5.0,20,281,4.106,20,281,4.106,5,3,3.7,0,0,,1,17,4.8,1,108,4.1,1,17,4.8,0,0,,1,10,4.6,9,14,3.814,0,0,,0,0,,0,0,,1,30,3.7,20,281,4.106,85,335.61,8.83,15.68,15.08,9.67,2.25
1179,Prádena del Rincón,41.04411,-3.540921,139.0,1,11,3.3,0,0,,2,4,5.0,0,0,,0,0,,0,0,,21,5192,4.509,0,0,,20,5192,4.509,1,0,,21,5192,4.509,22,5200,4.509,7,10,4.84,4,11,4.818,9,4832,4.502,1,150,4.0,4,2233,4.474,0,0,,1,0,,13,1543,4.274,0,0,,0,0,,1,0,,3,93,4.508,20,5192,4.509,73,265.75,3.55,33.97,9.71,7.47,0.72
1185,Puebla de la Sierra,41.01208,-3.444847,93.0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,20,779,4.537,0,0,,20,779,4.537,1,0,,20,779,4.537,20,779,4.537,1,0,,0,0,,1,73,4.6,0,0,,1,57,4.1,0,0,,0,0,,9,759,4.56,0,0,,0,0,,0,0,,0,0,,20,779,4.537,72,261.73,1.53,34.83,4.27,4.16,0.72
9020,Puentes Viejas,40.99496,-3.550907,774.0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,20,666,4.547,0,0,,20,666,4.547,0,0,,20,666,4.547,21,667,4.546,5,3,4.667,0,0,,2,571,4.597,0,0,,2,45,3.967,0,0,,0,0,,6,8,4.25,0,0,,0,0,,0,0,,0,0,,20,666,4.547,74,266.68,2.69,33.58,10.42,7.67,0.76
1198,Quijorna,40.42656,-4.057429,3987.0,1,4,4.0,0,0,,1,36,3.7,1,16,2.0,1,0,,0,0,,21,470,4.105,0,0,,20,457,4.139,4,3,4.7,20,457,4.139,21,457,4.139,8,1,4.0,1,12,4.5,5,3043,4.332,0,0,,3,1982,4.263,0,0,,0,0,,6,121,3.929,1,5,4.6,0,0,,0,0,,1,65,3.5,20,457,4.139,75,321.68,9.4,10.27,16.99,15.28,1.57
1202,Rascafría,40.90381,-3.879398,1712.0,2,89,3.937,1,1,4.0,1,15,3.6,2,17,3.588,2,16,3.5,1,123,3.6,20,4262,4.572,0,0,,20,4262,4.572,2,0,,20,4262,4.572,20,4262,4.572,13,26,4.362,6,96,3.099,19,17684,4.39,3,546,3.952,14,8457,4.321,0,0,,0,0,,19,3724,4.54,1,50,4.0,1,9,4.1,0,0,,1,65,3.2,20,4262,4.572,70,374.03,2.83,35.08,20.85,18.79,1.18
1219,Redueña,40.8163,-3.603684,292.0,1,23,3.5,1,6,4.5,2,38,4.4,1,10,2.7,1,0,,0,0,,20,851,4.331,1,7,1.0,20,851,4.331,3,0,,20,851,4.331,21,851,4.331,14,10,3.52,1,0,,7,1170,4.396,0,0,,7,861,4.302,0,0,,1,0,,7,20,4.185,0,0,,0,0,,0,0,,3,180,4.05,20,851,4.331,83,315.53,2.23,21.84,14.32,6.72,1.12
1224,Ribatejada,40.6665,-3.392131,911.0,3,45,4.36,0,0,,2,59,4.153,0,0,,0,0,,0,0,,20,397,4.491,0,0,,20,397,4.491,3,29,5.0,20,397,4.491,20,397,4.491,12,5,4.22,0,0,,3,474,4.309,1,240,4.7,2,262,4.65,0,0,,0,0,,3,13,4.415,0,0,,0,0,,0,0,,1,22,4.0,20,397,4.491,83,283.79,5.66,21.93,15.81,7.43,1.38
